group,case,freq_hz,freq_location,incl_degree,incl_location,incl_detectable,damping_present,damping_location,rail2_speed,rail3_speed,freq_defect,speed_defect,dominant_freq_hz,dominant_axis,peak_magnitude,freq_x,freq_y,freq_z,mag_x,mag_y,mag_z,peak_z,signed_peak_z,peak_jerk,impulse_energy,rise_time,post_impact_rms,journey_duration,duration_delta,rms_full,rms_first_half,rms_second_half,rms_ratio
3,2,0,0,3,4,1,0,0,70,100,0,0,46.762221653442545,acc_z,0.05674542514569208,33.196826209367806,33.17123112362427,46.762221653442545,0.018702462447029274,0.050422893096156836,0.05674542514569208,16.817127227783203,-0.5432194955630025,420.7687509999137,8.920167522444464,0.07,3.687234577452486,39.230056,-0.30006314200000617,0.9073075822006955,0.6569892371011808,1.1026253925999276,0.5958408372512062
3,3,0,0,0,0,0,1,6,70,100,0,0,28.821616212159118,acc_z,0.04330060843786804,27.545659244433324,47.610708031023265,28.821616212159118,0.014518527065830709,0.03799891540455491,0.04330060843786804,2.1730809211730957,-0.9243999905914524,41.28644752040152,0.23119640282993417,0.19,0.5248290695406547,40.059940426000004,0.5298212840000005,0.7654419255143909,0.8947252708519262,0.609230620505415,1.4686150707751133
3,4,0,0,0,0,0,0,0,60,30,0,1,29.02132748654574,acc_y,0.16872124007177544,29.02132748654574,29.02132748654574,29.001395256129157,0.04743763070888133,0.16872124007177544,0.04509882339077389,0.8711729049682617,-0.18291971994744632,26.20998777954634,0.17790432339083737,0.04,0.5714010257856045,50.259904000000006,10.729784858000002,0.5975681022011279,0.6066897102663348,0.5883236713634138,1.031217575965214
3,5,40,6,4,4,1,0,0,70,100,1,0,40.03518471977884,acc_z,1.132916163127758,40.03518471977884,40.03518471977884,40.03518471977884,0.46764412970327024,0.4309258629097377,1.132916163127758,19.159666061401367,3.198455691041596,476.14425300712463,17.612360521817962,0.11,3.1116793212212475,39.829996408,0.29987726599999576,2.8014861852488915,3.6633306595049295,1.5116393254273637,2.423415822732218
3,6,40,6,0,0,0,1,4,70,100,1,0,40.010116337885684,acc_z,0.4624911002423277,40.010116337885684,40.010116337885684,40.010116337885684,0.36002854942017126,0.45731054776979946,0.4624911002423277,9.660319328308105,-3.2718704610497884,316.98569930219145,1.7289018998558157,0.2,1.6476917869585208,39.560258458,0.030139315999996086,1.7953790415806812,2.420266294661393,0.7657784080285928,3.1605308654393722
4,1,50,3,0,0,0,0,0,70,100,1,0,49.84483170207687,acc_z,0.47983860507001364,47.52924325614705,49.91644783957985,49.84483170207687,0.13001251749263706,0.1494341480797821,0.47983860507001364,22.763294219970703,1.0362956707114916,390.44937756475946,43.81550412480002,0.25,7.397972534232993,41.999846762000004,2.4697276200000005,1.9884910006386982,1.1918600850925902,2.5473265149386264,0.46788665610906427
4,2,0,0,0,5,0,0,0,70,100,0,0,30.183531746031743,acc_z,0.04272593304790683,29.017857142857142,49.826388888888886,30.183531746031743,0.015967629566204088,0.037594667405559855,0.04272593304790683,4.808950901031494,-2.6728573639916937,131.85262360227978,0.5449424905403327,0.25,0.9367663967641594,40.389984000000005,0.8598648580000017,0.6593368628572582,0.6944926641190529,0.6221598639199221,1.116260794682893
4,3,0,0,0,0,0,1,4,70,100,0,0,49.962751427861924,acc_y,0.04320164952147661,30.74248820461882,49.962751427861924,30.866650111745713,0.025393527189442922,0.04320164952147661,0.039489579831237805,9.535860061645508,-5.126114294699936,246.59513876592447,2.0069787626071327,0.07,1.9113106710494754,40.40983567,0.8797165279999959,0.6533918850805633,0.6254295940190583,0.6802710061848278,0.9193829934435435
4,4,0,0,0,0,0,0,0,40,50,0,1,28.191808191808192,acc_y,0.04606938378512333,47.73226773226773,28.191808191808192,28.17182817182817,0.013408759867882146,0.04606938378512333,0.028505801811025838,0.653935432434082,-0.26246482826683076,21.821844903524383,0.07865822812127705,0.09,0.38869195946669527,50.239879312,10.709760169999996,0.5435966130328211,0.5911112276248326,0.4915756980083623,1.20248260851735
4,5,45,6,0,5,0,0,0,70,100,1,0,45.01518218623482,acc_z,1.8038335924455247,45.01518218623482,45.040485829959515,45.01518218623482,0.5464879844126513,0.4651946942369272,1.8038335924455247,3.7719268798828125,-2.748718911320603,109.82653818582892,0.5309298780015521,0.25,0.9210795871855499,39.590818928,0.060699785999993594,3.8829189429972897,5.423398694141147,0.8350260457602133,6.4948856645587005
