group,case,damping_present,damping_location,freq_defect,rms_P1,rms_P2,rms_P3,rms_P4,rms_ratio_P1,rms_ratio_P2,rms_ratio_P3,rms_ratio_P4,min_rms_ratio,min_rms_ratio_phone
4,4,0,0,0,0.06975417235004151,0.03215654169250902,0.049288120141363335,0.0484828875395789,1.0611674897190866,1.0398206437055035,1.0190363439922048,0.22044969409552514,0.22044969409552514,P4
4,5,0,0,1,0.5378317151395434,0.43797339531404,0.0970854204783983,0.5491128978469583,8.182012800351155,14.162399122273163,2.0072498536260133,2.4967937451219044,2.0072498536260133,P3
4,6,1,5,1,0.7172382217986046,0.7227749295068752,0.13237640084331917,0.7983218082944471,10.911316953732786,23.371800974142584,2.7368940661426344,3.629936403532658,2.7368940661426344,P3
5,1,0,0,1,0.09336637677862956,0.1433213763604067,0.08690689160624746,0.08400831504567766,1.4203790301338983,4.634469939239566,1.796807848141793,0.381982350745543,0.381982350745543,P4
5,2,0,0,0,0.1308138461781298,0.024532235936368708,0.04068192720495168,0.057639077296865036,1.9900659142329014,0.7932795014717842,0.841102526259673,0.26208251205477995,0.26208251205477995,P4
5,3,1,5,0,0.06653682467808159,0.024887703145078655,0.039078600208408504,0.05731096697436194,1.0122221056999867,0.8047739633237899,0.8079535955214886,0.2605906079233203,0.2605906079233203,P4
5,4,0,0,0,0.09303675101951142,0.02683588520039205,0.03634200227162542,0.056453794593503887,1.4153644463811899,0.8677707848782481,0.7513741855444437,0.2566930803886199,0.2566930803886199,P4
5,5,0,0,1,0.12623335893775905,0.5305107141432627,0.14705102514407067,0.6200175024811369,1.9203831413922652,17.154705177815167,3.040293251463711,2.819194063972727,1.9203831413922652,P1
5,6,1,4,1,0.1491091984207478,0.42474688401672606,0.17061426224668017,0.5738809859049523,2.268392390753898,13.734703892398521,3.527465310791524,2.6094132220715487,2.268392390753898,P1
6,1,0,0,1,0.5020839025256574,0.27878095404413683,0.0935502416942505,0.5857316082337618,7.638182728308113,9.014719115598735,1.9341597123663241,2.66329751403116,1.9341597123663241,P3
6,2,0,0,0,0.03827315007899642,0.03171665003269193,0.01810065559279047,0.051196584370108135,0.5822479319109335,1.0255962151818903,0.37423269230468664,0.23278876188866762,0.23278876188866762,P4
6,3,1,6,0,0.038111117578004255,0.030784242891952286,0.017406384394665037,0.04973446770392741,0.5797829378247317,0.9954457032720426,0.3598785724590183,0.22614057758800313,0.22614057758800313,P4
6,4,0,0,0,0.039784292103317964,9.8365162540922,0.02007546219496359,0.05560324830975388,0.6052368762928011,318.0756426159004,0.4150619975043655,0.2528256814447408,0.2528256814447408,P4
6,5,0,0,1,0.10588624607618947,0.07077939997396826,0.09793427509545824,0.22879441269054135,1.6108433110006013,2.2887374502453377,2.0247999996463673,1.040318777366973,1.040318777366973,P4
6,6,1,5,1,0.11135974220123021,0.07426434527752834,0.09911043934807483,0.23223189147320322,1.6941113929993288,2.401427368939874,2.049117302000021,1.0559488519057276,1.0559488519057276,P4
7,1,0,0,1,0.47492108293422225,0.5852939700744362,0.05281324250292134,0.24221623444723006,7.224955818598841,18.926187975665485,1.0919185678048469,1.1013472484548648,1.0919185678048469,P3
7,2,0,0,0,0.09008693997603101,0.03772068647608929,0.011889242466281263,0.016804614396031585,1.3704890866041788,1.2197439907450536,0.24581116384490695,0.0764098899838464,0.0764098899838464,P4
7,3,1,4,0,0.08861121608983395,0.03793482555230426,0.010553276612440066,0.01640960222613902,1.3480389569692697,1.2266684366074712,0.2181899489255282,0.07461378590597484,0.07461378590597484,P4
7,4,0,0,0,0.08259323237164728,0.03784763940076028,0.011033013608572643,0.015151680929573074,1.2564876065589787,1.223849167014131,0.2281085547318486,0.06889406954630405,0.06889406954630405,P4
7,5,0,0,1,0.49094142588644896,0.08110131756883479,0.21124378853490464,0.5340633994833661,7.468672667961517,2.622509131926815,4.367484443356116,2.4283642954972993,2.4283642954972993,P4
7,6,1,4,1,0.5305742033249471,0.09578522661013471,0.2193563325282831,0.5004959058947719,8.071604557597526,3.0973310794310276,4.535212024521269,2.2757342837819663,2.2757342837819663,P4
8,1,0,0,1,0.32316117409910305,1.08633023013568,0.723000075362868,0.2565724039049395,4.916238274214343,35.12780105453854,14.94809198222114,1.1666241600817142,1.1666241600817142,P4
